@relation 'telco_labFour-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4,6'

@attribute region numeric
@attribute townsize numeric
@attribute gender numeric
@attribute agecat numeric
@attribute edcat numeric
@attribute income numeric
@attribute debtinc numeric
@attribute churn numeric

@data
1,2,1,2,3,31,11.1,1
5,5,0,2,4,15,18.6,0
3,4,1,6,2,35,9.9,0
4,3,0,2,3,20,5.7,0
2,2,0,3,3,23,1.7,0
4,4,0,5,4,107,5.6,0
2,5,1,5,2,77,1.9,0
3,4,1,4,3,97,14.4,0
2,3,1,6,2,16,2.6,0
2,2,0,4,1,84,4.1,1
4,1,1,5,4,47,8.6,1
2,4,1,3,1,19,0.9,1
5,2,0,4,1,73,2.8,0
3,2,0,5,4,63,10.5,0
2,1,1,6,5,17,9.8,0
3,1,1,6,2,23,9.3,0
1,1,1,5,4,171,9.5,0
5,2,0,5,2,424,10.7,0
5,5,1,3,1,23,4.8,0
1,1,1,6,3,22,15.2,0
3,3,0,5,3,35,10.1,0
2,4,0,6,4,28,9.3,1
4,1,0,5,2,12,21.5,0
3,4,0,4,1,29,15.7,0
1,3,0,4,2,130,11.3,0
4,3,1,6,2,69,14.8,0
5,4,1,3,3,24,11.7,1
2,1,1,2,4,29,14,1
3,1,1,6,3,11,10.2,0
5,3,0,4,4,30,15.5,0
3,5,0,5,2,80,6.5,0
2,2,1,5,4,51,7.8,0
1,1,1,5,1,30,2.8,0
1,1,0,3,1,17,8.2,0
3,3,0,5,5,141,9.9,1
4,5,0,4,2,45,8.3,0
3,1,0,4,5,137,13.7,0
5,2,0,6,1,10,2.4,0
2,3,1,4,5,73,9.2,1
1,1,1,5,2,63,6,0
1,2,1,5,2,50,5.1,0
5,2,0,3,2,50,10.5,0
5,4,0,6,1,28,9.8,0
1,1,1,4,1,23,18.7,0
5,1,0,4,4,75,2.2,1
5,1,0,6,1,28,3.3,0
3,1,1,4,4,33,12.6,0
5,5,0,4,1,44,13.6,0
5,4,0,2,3,31,9.2,0
2,1,0,5,5,284,9.4,0
3,3,1,3,2,49,2.1,1
2,1,1,5,4,15,7.6,0
2,2,0,4,1,17,2.3,0
3,2,1,4,2,83,11.3,0
3,3,1,5,3,82,34.2,0
4,1,1,5,5,62,2.3,1
5,4,1,5,4,138,7,0
2,1,1,3,4,35,5.7,0
4,1,1,6,1,35,12.2,0
5,3,0,2,3,20,5.2,1
2,1,1,4,1,25,7.7,0
4,1,0,2,4,33,3.9,1
3,2,1,6,3,32,23.1,0
2,2,0,6,1,16,3,0
4,3,1,3,5,64,3.9,0
2,1,1,4,3,31,14.8,0
5,1,0,3,2,18,14.5,0
1,4,0,4,1,41,3.1,0
3,2,1,2,2,22,2.7,0
3,1,1,5,1,14,15,0
4,3,0,3,2,82,6.9,1
2,1,0,6,4,91,0.3,1
3,2,0,4,3,74,4.7,0
4,3,1,3,3,46,2.1,0
2,2,0,6,5,14,8.2,0
5,3,1,4,1,68,22,0
3,3,1,5,4,101,7.2,1
3,4,1,5,4,121,9.1,0
4,5,1,6,1,19,15.3,0
5,5,1,2,3,30,13.5,0
3,3,1,3,4,43,2.1,1
1,4,0,6,1,18,1.4,0
4,2,1,3,5,42,16.4,1
1,2,0,5,1,327,11.7,0
5,4,0,6,4,30,6.9,0
4,4,0,6,3,96,15.6,0
3,2,0,5,3,143,10.9,0
5,1,1,2,3,25,6.8,1
3,1,0,5,4,68,6.5,1
3,2,1,6,1,78,12.7,0
1,2,1,4,2,38,6.5,0
3,1,0,5,3,56,27.7,0
5,2,0,3,2,65,14.1,1
3,1,0,6,1,17,20.8,0
3,3,0,5,3,62,17.5,0
1,1,0,6,1,11,8,0
1,1,0,6,4,108,9.3,0
2,2,1,2,3,19,7.6,1
3,4,0,6,3,26,11.1,1
1,5,1,6,3,21,21.2,0
4,2,1,4,4,82,7,1
2,1,1,4,2,60,12.5,0
5,3,1,5,1,100,5.9,0
1,3,1,4,3,81,10.9,1
2,3,0,6,2,34,17.3,0
1,1,1,3,3,23,10.3,1
1,3,0,6,3,107,14.1,0
5,5,1,6,4,66,6.9,0
5,5,1,5,1,107,3.6,0
3,4,0,5,2,69,3.5,1
1,4,1,6,1,224,2.6,0
4,4,0,5,5,28,8.1,1
5,5,1,5,2,31,0.9,1
