@relation Dataset-weka.filters.unsupervised.attribute.Remove-R1

@attribute Inflow numeric
@attribute Discharge numeric
@attribute Precipitation numeric
@attribute MaxTemperature numeric
@attribute WaterLevel numeric

@data
73.975,15.82929,75.4319,29.9876,233.6253
50.11935,2.735324,172.6221,31.035,234.265
35.66333,20.91133,80.7324,32.4573,234.5127
30.12903,32.05839,113.6901,31.7049,230.8205
49.46899,36.012,44.9202,32.7028,224.2406
14.56129,37.71903,57.4014,32.9533,212.5675
23.97097,11.01129,40.2488,33.0908,203.9723
52.54667,22.32064,33.1948,33.0488,201.9575
99.92903,5.203548,263.6127,30.8101,200.0841
92.32667,16.46967,271.5962,29.6,203.2707
31.51071,17.35786,109.9038,28.943,249.8177
44.11613,5.051613,165.8263,31.4434,250.7767
45.58333,31.35033,90.723,32.0573,249.7271
42.49677,38.69935,51.5587,33.0049,244.6724
16.33333,35.77,29.4155,32.0028,240.2576
10.78065,38.10452,40.1502,32.9533,233.5928
9.409677,9.763226,126.8075,32.893,228.6554
29.80333,10.20433,35.6667,33.1592,226.5125
70.4871,13.87839,255.061,30.1066,225.2891
167.45,17.46533,232.77,29.1035,222.5245
182.6065,5.900645,428.4859,28.4425,230.2994
41.17742,14.24183,76.0399,28.3873,243.5984
1.965517,22.88763,1.9718,29.643,242.899
49.46899,12.4822,120.5498,31.335,240.8135
38.72,44.79025,50.6009,32.5509,235.0337
43.2129,34.1675,93.2136,32.4049,228.1452
11.34667,38.6553,15.0141,33.1028,221.7977
3.012903,32.55294,79.946,32.6533,211.201
12.02903,8.509929,63.2723,33.1505,204.6197
29.61667,5.6069,99.4718,32.3545,200.6837
62.37097,2.425821,96.2418,32.08728,202.3381
170.2484,0,291.8709,28.2998,239.0516
30.26129,21.5145,79.4718,28.2892,248.7777
22.28214,21.25547,96.0117,29.9876,247.1843
31.60645,23.51816,72.5681,31.2434,246.1742
20.54,35.27717,73.723,32.2573,241.3267
18.4,36.71651,119.0962,32.754,236.0252
8.376667,39.60354,37.4742,33.4028,229.7173
25.93548,18.96267,44.2254,32.9533,223.9971
13.15161,7.925123,37.6831,32.9505,221.8174
33.08,7.907256,33.6761,33.1545,219.7817
95.22258,9.332486,208.9953,30.7066,219.5387
180.39,2.980311,339.5915,?,227.6007
114.1484,18.53194,412.2746,28.4923,259.6
102.1893,21.61985,422.5657,29.2876,260.5743
26.07742,22.9443,100.6197,31.7434,260.0974
56.99667,36.96683,87.6362,31.4573,258.8977
49.46899,43.14917,63.0587,33.1049,255.0542
3.356667,45.85409,2.9366,33.3028,249.696
3.048387,30.38626,45.2911,32.9958,243.5658
2.48,31.45,42.58,26.75,265.45
